Experiment	bias spectroscopy	
Saved Date	02.12.2025 03:03:43	
User		
Date		
X (m)	140.359E-9	
Y (m)	414.726E-9	
Z (m)	-147.215E-9	
Z offset (m)	0E+0	
Settling time (s)	20E-3	
Integration time (s)	100E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	02.12.2025 03:02:06	
Filter type	Gaussian	
Order	2	
Cutoff frq		
Bias>Bias (V)	10E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	895E-6	
Bias Spectroscopy>Sweep Start (V)	10E-3	
Bias Spectroscopy>Sweep End (V)	-10E-3	
Bias Spectroscopy>Num Pixel	201	
Bias Spectroscopy>Z Avg time (s)	20E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-3	
Bias Spectroscopy>Settling time (s)	20E-3	
Bias Spectroscopy>Integration time (s)	100E-3	
Bias Spectroscopy>End Settling time (s)	10E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	6E+0	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	4	
Bias Spectroscopy>Channels	Current (A);B-field (T);Bias (V);Z (m);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	999.99900E-12	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	-1.23791E-9	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-11.3536E-12	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	803E+0	
Lock-in>Amplitude	100E-6	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-27.0708E+0	
Lock-in>Reference phase D2 (deg)	90.2908E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	19.4281E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	1.2434E+3	
Lock-in>LP Filter Order D1	2	
Lock-in>LP Filter Order D2	OFF	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\Data\Nickelocene\FGT\2025-11-26	
NanonisMain>SW Version	Generic 5	
NanonisMain>UI Release	15216	
NanonisMain>RT Release	15216	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	

[DATA]
Bias calc (V)	Current (A)	B-field (T)	Bias (V)	Z (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	Current (A) [filt]	B-field (T) [filt]	Bias (V) [filt]	Z (m) [filt]	LI Demod 1 X (A) [filt]	LI Demod 1 Y (A) [filt]
9.9999998E-3	1.0649488E-9	-545.39624E-6	9.9999998E-3	-147.21545E-9	15.826812E-12	155.69856E-15	NaN	NaN	NaN	NaN	NaN	NaN
9.8999999E-3	1.0501513E-9	-526.85413E-6	9.8999999E-3	-147.21545E-9	15.647629E-12	53.257024E-15	157.19009E-9	-120.74734E-3	1.0000000E+0	-0.0000000E+0	980.64090E-12	296.57954E-12
9.8000001E-3	1.0313135E-9	-521.68453E-6	9.8000001E-3	-147.21545E-9	15.820137E-12	144.75298E-15	149.16426E-9	-73.511161E-3	1.0000000E+0	-0.0000000E+0	1.2830557E-9	225.92758E-12
9.6999994E-3	1.0208604E-9	-519.35826E-6	9.6999994E-3	-147.21545E-9	15.270941E-12	89.387848E-15	144.42671E-9	-1.2793946E-3	1.0000000E+0	-0.0000000E+0	702.88725E-12	236.59069E-12
9.5999995E-3	1.0067837E-9	-530.32185E-6	9.5999995E-3	-147.21545E-9	15.374542E-12	74.937926E-15	145.71258E-9	35.997424E-3	1.0000000E+0	-0.0000000E+0	-224.54298E-12	368.18809E-12
9.4999997E-3	990.38022E-12	-541.77607E-6	9.4999997E-3	-147.21545E-9	15.832825E-12	-47.033236E-15	152.66703E-9	27.901307E-3	1.0000000E+0	-0.0000000E+0	-762.93266E-12	429.33385E-12
9.3999999E-3	973.89230E-12	-530.04554E-6	9.3999999E-3	-147.21545E-9	15.772186E-12	-53.441094E-15	161.49443E-9	-50.640752E-6	1.0000000E+0	-0.0000000E+0	-674.47897E-12	289.15878E-12
9.3000000E-3	956.96828E-12	-527.83807E-6	9.3000000E-3	-147.21545E-9	15.667686E-12	-6.7191312E-15	166.63810E-9	-25.827948E-3	1.0000000E+0	-0.0000000E+0	-16.202345E-12	72.456374E-12
9.2000002E-3	941.84405E-12	-529.14035E-6	9.2000002E-3	-147.21545E-9	15.583774E-12	-74.410923E-15	168.63318E-9	-27.014803E-3	1.0000000E+0	-0.0000000E+0	315.47734E-12	131.33204E-12
9.0999994E-3	921.99526E-12	-522.64135E-6	9.0999994E-3	-147.21545E-9	15.730061E-12	12.560846E-15	163.06498E-9	-8.2130386E-3	1.0000000E+0	-0.0000000E+0	347.49717E-12	60.404709E-12
8.9999996E-3	906.47800E-12	-525.07926E-6	8.9999996E-3	-147.21545E-9	15.647910E-12	-197.62749E-15	158.34306E-9	-6.5192692E-3	1.0000000E+0	-0.0000000E+0	591.36823E-12	-307.72002E-12
8.8999998E-3	896.24380E-12	-529.68203E-6	8.8999998E-3	-147.21545E-9	15.395230E-12	53.432570E-15	164.94999E-9	-4.9494058E-3	1.0000000E+0	-0.0000000E+0	606.25222E-12	-611.09573E-12
8.8000000E-3	875.48102E-12	-519.93097E-6	8.8000000E-3	-147.21545E-9	15.398276E-12	252.34128E-15	177.85747E-9	4.8958547E-3	1.0000000E+0	-0.0000000E+0	226.01751E-12	-465.67150E-12
8.7000001E-3	852.28608E-12	-524.96954E-6	8.7000001E-3	-147.21545E-9	15.563573E-12	53.865641E-15	184.92683E-9	7.8306897E-3	1.0000000E+0	-0.0000000E+0	469.15677E-12	48.906816E-12
8.6000003E-3	835.78922E-12	-533.01029E-6	8.5999994E-3	-147.21545E-9	15.620102E-12	28.924396E-15	176.25042E-9	10.521634E-3	1.0000093E+0	-0.0000000E+0	515.33516E-12	659.90913E-12
8.4999995E-3	822.40120E-12	-525.34207E-6	8.4999995E-3	-147.21545E-9	14.877323E-12	-94.694760E-15	158.54364E-9	14.486613E-3	999.99070E-3	-0.0000000E+0	776.57775E-12	251.20608E-12
